usdot_number,prefix,docket_number,legal_name,dba_name,city,state
3376703OOS,MC,1083210,3G TRANSPORTATION SERVICES LLC,,GRAND JCT,CO
3325031,MC,1070036,3GT FARMS,,HOLLY,CO
,MC,1601125,3HE LOGISTIC LLC,,DENVER,CO
3533712,MC,1177335,3J TRUCKING LLC,,JOHNSTOWN,CO
3473707OOS,MC,1178112,3P TRUCKING LTD,,PENROSE,CO
,FF,40854,3P TRUCKING LTD,,PENROSE,CO
2239474,MC,607126,"3PL MANAGEMENT, LLC",,CO SPRINGS,CO
3773016,MC,1347682,3PS TRUCKING LLC,,GILL,CO
3418745,MC,1104541,3RD DAY MOTORSPORTS INC,3RD DAY MOTORSPORTS,DENVER,CO
4221378,MC,1631727,3W ENTERPRISES LLC,,IGNACIO,CO
1935928,MC,690932,4 A'S TRUCKING LLC,,LAMAR,CO
3785709,MC,1356856,4 BEN TRUCKING,,AURORA,CO
2542712,MC,884849,4 C UNITED LLC,,AURORA,CO
3636164,MC,1610365,4 CORNER DELIVERS,,DENVER,CO
,MC,1247694,4 CORNER DELIVERS LLC,,DENVER,CO
,FF,13580,4 CORNERS FENCING,,SNOWMASS,CO
2261319,MC,772157,4 ENERGY HOTSHOT SERVICES LLC,HOT SHOT CARRIER,CRAIG,CO
3168287,MC,116199,4 HORSE TRUCKING LLC,,EATON,CO
725541,MC,332971,"4 L TRUCKING, LLC",,PUEBLO,CO
3993300,MC,1584448,4 MORRIS TRUCKING LLC,,BRIGGSDALE,CO
2042323,MC,952088,4 N FARMS TRUCKING,,BAYFIELD,CO
3647682,MC,1256094,4 POINT LOGISTICS LLC,,COLORADO SPGS,CO
437454,MC,504952,"4 RIVERS EQUIPMENT, LLC",,GREELEY,CO
3495504,MC,1151884,4 SEASONS TRANSPORT LLC,,DENVER,CO
1847198,MC,669025,"4 U EXPRESS, LLC",,GREELEY,CO
2891108,MC,1088195,4 WAY TRUCKING LLC,,KIT CARSON,CO
3768220,MC,1344204,4 WHEELS TRANSPORTATION LLC,,LONGMONT,CO
,MC,557774,4-S TRUCKING LLC,,LA JUNTA,CO
2309272,MC,805852,401 TRUCKING LLC,,OTIS,CO
3384414,MC,1086741,406 FREIGHT LLC,,TRINIDAD,CO
4102706,MC,1565327,413 TRUCKING LLC,,CENTER,CO
3159917,MC,110133,424 INDUSTRIES LLC,,GREELEY,CO
1269912,MC,496217,45 BAR TRANSPORT INC,,FORT COLLINS,CO
3090689,MC,72040,"4640 SERVICES, LLC",,GRAND JCT,CO
1791759,MC,652360,49 SQUARE VENTURES LLC,49 SQUARE TRUCKING,MANCOS,CO
3803862,MC,1370165,4AM TRUCKING LLC,,DACONO,CO
1203094,MC,727958,4C LLC,,AURORA,CO
2288748,MC,782781,4D TRUCKING LLC,,GREENWOOD VILLAGE,CO
2588037,MC,907359,4G TRUCKING LLC,,WINDSOR,CO
3044688,MC,99433,4K TRUCKING LLC,,LOVELAND,CO
3845431,MC,1433904,4KINGS TRANSPORT,,GREELEY,CO
,MC,1478434,4M TRUCKING LLC,,EVANS,CO
3903863,MC,1439012,4MZ FREIGHT LLC,4MZ FREIGHT,DENVER,CO
675812,MC,323259,"4R EXPRESS, INC.",,FORT MORGAN,CO
