usdot_number,prefix,docket_number,legal_name,dba_name,city,state
2602897,MC,916352,A PLUS RECOVERY & TOWING LLC,,CRAIG,CO
1883945,MC,679148,A PLUS SPECIALTY SERVICES LLC,,FT COLLINS,CO
2453521,MC,1051120,A PROFESSIONAL INSTALLATION INC,,THORNTON,CO
3892258,MC,1431339,A QUICK FIX LOGISTICS LLC,,AURORA,CO
3202675OOS,MC,1242108,A R L TRUCKING LLC,,FORT LUPTON,CO
3008266,MC,49655,A R LOGISTICS,,COLORADO SPGS,CO
970482,MC,849611,A RIDE & JOY TRANSPORTATION LLC,,COMMERCE CITY,CO
2988232,MC,17703,A RIDE IN LUXURY INC,,COLORADO SPRINGS,CO
,FF,36664,A ROOFING SOLUTIONS LLC,,COLORADO SPGS,CO
3572003OOS,MC,1064305,A S TRANSPORTATION INC,,AURORA,CO
,FF,5906,A SMART MOVE LLC,,GREENWOOD VILLAGE,CO
,MC,503128,"A SMART MOVE, LLC",,ENGLEWOOD,CO
1340757,MC,511186,"A SMART MOVE, LLC",A SMART MOVE,GREENWOOD VILLAGE,CO
4015233,MC,1512981,A SQUARED DELIVERIES LLC,A SQUARED DELIVERIES,DENVER,CO
2971736,MC,843097,A STEP ABOVE LIMO SERVICE LLC,,AURORA,CO
3801853,MC,1368747,A T  FREIGHT LLC,,BRIGHTON,CO
942346,MC,581654,A T S LLC,,MORRISON,CO
2986564,MC,16893,A T TRANSPORT INC,,AURORA,CO
2424774,MC,835785,A TAPIA TRUCKING INC,,EVANS,CO
3030261,MC,1008627,A TARIN TRUCKING LLC,,DENVER,CO
4126638,MC,1579349,A TERRAZAS TRUCKING LLC,,EVANS,CO
3114537,MC,91670,A THRU Z TRANSPORT LLC,,GREELEY,CO
3588271,MC,1214474,A TO B MOVERS INC,A TO B MOVERS,RIFLE,CO
2228522,MC,419493,"A TO Z FREIGHT COMPANY, INC.",,COLORADO SPRINGS,CO
4001423,MC,1503994,A TO Z LOGISTICS,,NORTHGLENN,CO
3465887,MC,1132864,A TO Z TRANSPORT LLC,,FRUITA,CO
660521,MC,309482,"A TO ZIPPITY TRANSPORT, INC.",,CASCADE,CO
1391756OOS,MC,666173,A TOUCH OF CLASS COLLISION LLC,,DENVER,CO
2480645,MC,875365,A TOUCH OF CLASS LIMOUSINE SERVICE LLC,,IDALIA,CO
4165919,MC,1601546,A TRANSPORT COMPANY LLC,,MEAD,CO
3486982,MC,1394927,A TRANSPORT LLC,,DENVER,CO
3414929,MC,1353449,A TRUCKING INC,,COLORADO SPRINGS,CO
2078576,MC,750173,A TRUCKING LLC,,COLORADO SPRINGS,CO
4176989,MC,1607551,A UNIVERSAL TRANSPORT LLC,,ARVADA,CO
3809569,MC,1374261,A WALLACE EXPRESS LLC,,AURORA,CO
3529245,MC,1174330,A Y DELIVERIES,,DENVER,CO
3746748,MC,1328442,A&A DELIVERY LLC,,AURORA,CO
4225649,MC,1633970,A&A FLEET SERVICES LLC,,DENVER,CO
2431631,MC,1091680,A&A HAULING LLC,,DENVER,CO
3179019,MC,124742,A&A INTERSTATE TRUCKING LLC,,AURORA,CO
3614403,MC,1232250,A&A TRANSPORT LLC,,FIRESTONE,CO
2899427,MC,103115,A&A TRANSPORTING LLC,,FT LUPTON,CO
3340478,MC,1066113,A&A TRUCKING LTD,,WHEAT RIDGE,CO
3196538,MC,152591,A&A UNLIMITED INC,,DENVER,CO
3160148,MC,110298,A&AB TRUCKING LLC,,CENTENNIAL,CO
3433049,MC,1112863,A&B DELIVERIES LLC,,DENVER,CO
4115126,MC,1572662,A&B TRANSPORT LLC,,DENVER,CO
3787533OOS,MC,1369748,A&B-TRUCKING LLC,,DENVER,CO
1809388,MC,932596,A&C TOWING LLC,,FT LUPTON,CO
2016664,MC,710134,A&C TRUCKING LLC,,HOLLY,CO
3082156,MC,67249,A&D TRANSPORT LLC,,NORTHGLENN,CO
3250273,MC,1022737,A&D TRANSPORTATION LLC,,DENVER,CO
152603,MC,139483,"A&D TRUCKING, LLC",,STERLING,CO
,MC,1103005,A&E CONCRETE DESIGN LLC,,THORNTON,CO
3596502,MC,1220067,A&E DELIVERY SERVICES LLC,,AURORA,CO
2986332,MC,16778,A&E ENTERPRISE LLC,,AURORA,CO
3843644,MC,1398639,A&E GENERAL CONTRACTORS LLC,,LAKEWOOD,CO
3860052,MC,1409806,A&E LOGISTICS LLC,,FIRESTONE,CO
3709642,MC,1301388,A&E TRANSPORT LLC,,THORNTON,CO
4194878,MC,1617243,A&E TRANSPORT LLC,,FOUNTAIN,CO
2822337,MC,941337,A&E TRANSPORT SOLUTIONS,READY 2 ROLL,AURORA,CO
3215372OOS,MC,1005100,A&E TRANSPORTATION LLC,,LAKEWOOD,CO
3543592,MC,1221302,A&G SERVICES,,FIRESTONE,CO
4112505,FF,61096,A&H  TOWING  LLC,A&H TOWING LLC,CENTENNIAL,CO
2479564OOS,MC,857998,A&H LIMO CORPORATION,,AURORA,CO
3395552,MC,1092045,A&J LOGISTICS LLC,,AURORA,CO
2309977,MC,788642,A&J TRANSPORT INC,,GRAND JUNCTION,CO
2897934,MC,975825,A&J TRUCKING LLC,,AURORA,CO
3491787,MC,1162007,A&K TRANSPORTS,,AURORA,CO
1419051,MC,536882,A&L AIRPORT SHUTTLE LLC,,DENVER,CO
3577940,MC,1207541,A&L CHILDERS LLC,,THORNTON,CO
3440504OOS,MC,1117268,A&L TRUCKING LLC,,STERLING,CO
,MC,53661,A&L TRUCKING SERVICES LLC,,DENVER,CO
,FF,22437,A&L TRUCKING SERVICES LLC,,DENVER,CO
3058191,MC,1369667,A&L TRUCKING SERVICES LLC,,DENVER,CO
3294803,MC,1043941,A&M DELIVERIES LLC,,DENVER,CO
545401,MC,269996,A&M FARMS TRUCKING LLC,,80822-9301 JOES,CO
3401411,MC,1094912,A&M HAULING LTD,,COMMERCE CITY,CO
3395750,FF,37160,A&M HAULING LTD,,COMMERCE CITY,CO
3648254,MC,1256500,A&M LO TRANSPORT LLC,,BRUSH,CO
4152068,MC,1594118,A&M TOWING,,LAFAYETTE,CO
4174339,MC,1606145,A&M TRANSPORT,,SAN LUIS,CO
2841881,MC,61249,A&M TRANSPORT LLC,,NORTHGLENN,CO
3764269OOS,MC,1341319,A&M TRANSPORTATION LLC,,WINDSOR,CO
776983,MC,791166,A&M TRANSPORTATION LLC,,GRAND JUNCTION,CO
278827,MC,188362,"A&M TRUCKING, INC.",,DENVER,CO
2456338,MC,849111,A&P TRANSPORTS,,COLORADO SPRINGS,CO
3110873,MC,82630,A&R DELIVERIES INC,,DENVER,CO
3749151,MC,1330209,A&R TRANSPORTATION LOGISTICS LLC,,COLORADO SPGS,CO
3639955,MC,1250365,A&R TRUCKING LLC,,CENTER,CO
3391433,MC,1090040,A&RL LLC,,COMMERCE CITY,CO
3569303,MC,1201753,A&S EXPEDITED LLC,ROAD DIAMOND EXPRESS,AURORA,CO
3453213,MC,1124835,A&S TRANSPORT LLC,,80603 LOCHBUIE,CO
4236402,MC,1639821,A&S TRANSPORTATION,,DENVER,CO
1119423,MC,460774,A&T TRUCKING LLC.,ENZO EXPRESS,COMMERCE CITY,CO
3619418,MC,1235766,A&U ENTERPRISES INCORPORATED LLC,,NORTHGLENN,CO
,FF,48409,A&U ENTERPRISES INCORPORATED LLC,,NORTHGLENN,CO
3437476,MC,1115487,A&V FLEET SERVICES,,COMMERCE CITY,CO
3569409,MC,1201825,A&V TRANSPORT,,COMMERCE CITY,CO
3526912,FF,43554,A&V TRUCKING LLC,,AURORA,CO
3526912,MC,1172694,A&V TRUCKING LLC,,AURORA,CO
,MC,1109933,A&X TRUCKING LLC,,EVANS,CO
1751194,MC,773203,A&Y DELIVERY SERVICES LLC,,DENVER,CO
4047749,MC,1533126,A&Y MOVING LLC,,CENTENNIAL,CO
4175555,MC,1606805,A&Z TRANSPORT LLC,,GREELEY,CO
3294769,MC,1043929,A&Z TRUCKING LLC,,SEVERANCE,CO
3972926,MC,1485165,A+ TOWING LLC,,AURORA,CO
2477971,MC,857310,A+ TRANSPORTATION LTD,,DENVER,CO
3605318,MC,1458373,A+ WAREHOUSE LLC,,DENVER,CO
4018198,MC,1514859,A+EE CARRIERS LLC,,AURORA,CO
1959666,MC,597513,"A- TRANS SHUTTLE & LIMOUSINE, LLC.",,AURORA,CO
1626812,MC,600306,"A-1 AUTOMATICS, INC",A-1 AUTOMATICS & TOWING,TRINIDAD,CO
,MC,964734,A-1 DELIVERY SERVICE LLC,,DENVER,CO
2843352,MC,957258,"A-1 REPOSSESSIONS, LLC",,DELTA,CO
725813,MC,792115,"A-1 TOWING, INC",,LAMAR,CO
875292,MC,382951,"A-1 TRANSPORTATION, INC.",,AUSTIN,CO
456428OOS,MC,225167,"A-ALLIANCE MOVING & STORAGE, INC.",,DENVER,CO
2834256,FF,14397,A-AMERICAN FREIGHT LLC,TRANSPORT FREIGHT LOCALLY IN COLORADO AND AROUND TOWN,THORNTON,CO
1136635,MC,461393,A-BELL MOVING AND STORAGE SOLUTIONS INC.,,WESTMINSTER,CO
279663,MC,181887,"A-C MCJUNKINS, INC.",,STRASBURG,CO
3687676,MC,1285244,A-JOB INC,,COLORADO SPRINGS,CO
2547325,MC,1122752,A-KWIK TOW LLC,,COLORADO SPRINGS,CO
2382202,MC,25989,"A-LEGEND TRUCKING, INC.",,BRIGHTON,CO
1197786,MC,477952,A-PERSTIGE RELOCATION LLC,,DENVER,CO
887095,MC,637719,A-PLUS CONSTRUCTION CO,,FRANKTOWN,CO
1215314,MC,780321,A-SKYBOOM CRANE SERVICE INC,DEDICATED FREIGHT TRUCKING,ARVADA,CO
1965574,MC,696386,A-STAR MOVERS INC,,FORT COLLINS,CO
2971744,MC,869419,A-Z LIMO SERVICE LLC,,DENVER,CO
3076146,MC,64010,A-Z TRANSPORT LLC,,DENVER,CO
,MC,259982,"A. BLASI AND SON TRUCKING & EARTHMOVING, LLC",,TRINIDAD,CO
164646,MC,141544,"A. CORTESE, INC.",,PUEBLO,CO
,MC,225426,"A. CORTESE, INC.",,PUEBLO,CO
175984,MC,106887,A. D. RAY TRUCKING,NORTHWESTERN COLORADO PIPE & STORAGE CO.,CRAIG,CO
679766,MC,313694,"A. D. TRANSPORTATION, INC.",,WESTMINSTER,CO
1594534,MC,196115,A. J. MURRAY,C & M TRUCKING CO.,DURANGO,CO
583040,MC,283132,A. J. OLSON,OLSON MILLWRIGHT SERVICE,KEENESBURG,CO
272574,MC,345471,A. JACK HAMILTON INC.,,CORTEZ,CO
848896,MC,374701,"A. S. HORNER CONSTRUCTION CO., INC.",,ENGLEWOOD,CO
,MC,192166,"A. W. T. EQUIPMENT, INC.",,GREELEY,CO
,MC,1066713,A. WILSON TRUCKING LLC,,PLATTEVILLE,CO
779878,MC,349076,"A.G. & SONS TRUCKING, INC.",,BRIGHTON,CO
2798712,MC,942255,A.I.A TRUCKING LLC,,BRIGHTON,CO
1928045,MC,689159,A.I.P TRANSPORT LLC,,THORNTON,CO
3730990,MC,1317030,A.L.S TRANSPORT LLC,,LOCHBUIE,CO
798971,MC,362722,"A.R.T. TRANSPORT, INC.",,ALAMOSA,CO
1744235OOS,MC,640821,"A.T.O.S., LLC",,DENVER,CO
2411005OOS,MC,900027,A1 EXPRESS LLC,,AURORA,CO
3320836,MC,1056640,A1 GARCIA'S TRANSPORT,,COMMERCE CITY,CO
2840792,MC,951318,"A1 LOGISTICS, LLC",,DENVER,CO
3501115OOS,MC,1155620,A1 MOVERS LLC,,ARVADA,CO
4083423,MC,1554018,A1 TRANSPORT LLC,,DENVER,CO
3949286,MC,1469219,A10 LOGISTICS INC,,LONE TREE,CO
3055222,MC,51995,A1A CARGO TRANSPORT,,FOUNTAIN,CO
3563314,MC,1197577,A1A TRANSPORT LLC,,COLORADO SPRINGS,CO
4096207,MC,1561595,A1EXPRESSDELIVERYLLC,,COLORADO SPGS,CO
4106795,MC,1567775,A2B CONTRACTS LLC,,DENVER,CO
2468985,MC,846727,A2B LOGISTIC SERVICES LLC,,FORT COLLINS,CO
3586883,MC,1213540,A2K PLATINUM TRUCKING LLC,,FOUNTAIN,CO
3971828,MC,1484386,A2Z AUTO BROKER LLC,,AURORA,CO
3971828,FF,57168,A2Z AUTO BROKER LLC,,AURORA,CO
4163169,MC,1600126,A2Z AUTO TRANSPORTATION LLC,,COMMERCE CITY,CO
2321476,MC,792470,AA DENVER EXPRESS LLC,AA DENVER EXPRESS,DENVER,CO
1209784,MC,489419,AA EXPRESS INC,,DENVER,CO
2047170,MC,717468,AA EXPRESS LLC,,AURORA,CO
1496489,MC,562524,"AA LIMOUSINES, INC.",AA LIMOS,JOHNSTOWN,CO
3408369OOS,MC,1098304,AA LLC,,AURORA,CO
3586654,MC,1213383,AA TRANSPORTATION LLC,,AURORA,CO
2787512,MC,929763,AA TRUCKING COMPANY LLC,,AURORA,CO
3681390,MC,1280640,AA TRUCKING LLC,,JOHNSTOWN,CO
,FF,23407,AAA  BLANKET COVERAGE,,GREENWOOD VLG,CO
1556077,MC,577602,AAA ACCESS COLORADO SHUTTLE INC,#1 + A + ACCESS COLORADO TRANSPORTATION,AURORA,CO
1617598,MC,597762,AAA AFFORDABLE BUSES INC,,AURORA,CO
3544179,MC,1184483,AAA CAR SERVICES LLC,,AURORA,CO
455289,MC,245577,"AAA EXPRESS AIR DELIVERY, INC.",,THORNTON,CO
672643,MC,567888,AAA EXPRESS INC,,COLORADO SPRINGS,CO
,MC,908590,AAA EXPRESS TRANSPORTATION,,COLORADO SPRINGS,CO
2590295,MC,908525,AAA EXPRESS TRANSPORTATION INC,,COLO SPRINGS,CO
2545907,MC,886277,AAA LTD,,COLORADO SPRINGS,CO
1148818,MC,507648,AAA MOBILE SERVICE LLC,,DELTA,CO
3552311,MC,1190142,AAA OF COLORADO SPRINGS LLC,,COLORADO SPGS,CO
3734116,MC,1319291,AAA THREE GENERATIONS LLC,,FORT LUPTON,CO
,MC,1409777,AAA TOWING LLC,,KIT CARSON,CO
2212777,MC,175569,"AAA TRANSPORT, INC.",,ARVADA,CO
2264125,MC,789682,AAA TRANSPORTATION CORP,,AURORA,CO
3075874,MC,63846,AAA TRANSPORTATION LLC,DURANGO RIVERTRIPPERS & ADVENTURE TOURS,DURANGO,CO
,MC,164247,"AAA TRANSPORTATION, INC.",,AURORA,CO
2243497,MC,664391,AAA TRUCKING CO LLC,,CENTENNIAL,CO
2452297,MC,847099,AAAZ DIA LIMO EXPRESS LLC,,AURORA,CO
3317466,MC,1112513,AACH&H FAMILY TRUCKING LLC,,AURORA,CO
,MC,855112,AADVANCED LIMO LLC,,AURORA,CO
3530779,MC,1175356,AAG LOGISTICS LLC,,FORT MORGAN,CO
3481865,MC,1142996,AAH TRUCKING  INC,,DENVER,CO
3884824,MC,1426412,AAI LOGISTICS LLC,,DENVER,CO
2380639,MC,817580,AAJ INSTALLS LLC,,FT COLLINS,CO
1611472OOS,MC,636391,AALL PROMOVERS INC,A-MOVINGCO AND STARVING MOVERS OF COLO,DENVER,CO
676170,MC,314435,"AALTA TRANSPORTATION, LLC",AALTA TRANSPORTATION,AVON,CO
966981,MC,1231974,AAM'S MILD TO WILD RAFTING INC,MILD TO WILD RAFTING,DURANGO,CO
3422809OOS,MC,1106897,AANDJTRUCKING LLC,,ENGLEWOOD,CO
3982971,MC,1491872,AANN OT TRANSPORT,,LONGMONT,CO
3139937,MC,98436,AAR CONCRETE LLC,,THORNTON,CO
3358843,MC,1075236,AAR TRANSPORT LLC,,AURORA,CO
,MC,439437,AARON  METZLER  TRUCKING  LLC,,OTIS,CO
658546,MC,305779,AARON A. BENAVIDEZ,AARON'S MOVING SERVICE,IGNACIO,CO
736712,MC,336056,AARON K. PALMER,PALMER BROS. TRUCKING,ALAMOSA,CO
,MC,1025206,AARON L GEBAUER,AARON GEBAUER FARMS,OTIS,CO
1032256,MC,1025205,AARON L GEBAUER,AARON GEBAUER FARMS,OTIS,CO
1206147,MC,479453,AARON LOWRY,EAGLE TRANSPORT,LOVELAND,CO
164637,MC,143608,AARON N. MILLER MOVING & STORAGE,,DENVER,CO
1683586,MC,618586,AARON R ELLIOTT,AARON'S TOWING AND RECOVERY,WESTMINSTER,CO
3542584,MC,1183355,AARON TRANSPORT LLC,,AURORA,CO
,FF,44386,AARON TRANSPORT LLC,,AURORA,CO
1683586,MC,618585,AARON'S TOWING AND RECOVERY,,WESTMINSTER,CO
,MC,1098778,AARONS TRUCKING LLC,,LONGMONT,CO
,FF,24164,AARONS TRUCKING LLC,,LONGMONT,CO
3550196,MC,1188710,AAS HOTSHOT PART DEUX LLC,,GREELEY,CO
2922419,MC,985793,AB AND SONS TRANSPORT LLC,,WESTMINSTER,CO
3435167,MC,1114093,AB CONCRETE LLC,,PUEBLO,CO
4094818,MC,1560738,AB GROSSMAN INC,,PUEBLO WEST,CO
,MC,858733,AB LIMO SERVICE LLC,,DENVER,CO
2988033,MC,17589,AB TRANS LLC,AB TRANS,AURORA,CO
,FF,26636,AB TRANSPORT,,COMMERCE CITY,CO
2204830,MC,765032,AB TRANSPORT LLC,,AURORA,CO
3709697,MC,1301455,AB TRUCKING LLC,,LAMAR,CO
2974534,MC,1360699,AB UNDERGROUND,,LA SALLE,CO
2974534,MC,1360755,AB UNDERGROUND LLC,,LA SALLE,CO
3989853OOS,MC,1496441,ABA EXPRESS INC,,LITTLETON,CO
3445449,MC,1120164,ABA TRANSPORTATION LLC,,AURORA,CO
3374581,MC,1082383,ABA TRANSPORTATION LLC,,AURORA,CO
1027159,MC,514346,"ABACUS MOVING AND STORAGE, INC.",ABACUS DIVERSIFIED RELOCATION SERVICES,PARKER,CO
2874307,MC,990962,ABACUS PARTNERS LLC,SEAL MASTER,DENVER,CO
1576434,MC,583753,ABBA TRANSPORT LLC,,DENVER,CO
763172,MC,343739,ABBOTT & SONS INC,,LAFAYETTE,CO
682650,MC,321303,"ABBOTT LAND CO., INC.",,KEENESBURG,CO
2567143,MC,896625,ABBOTTS TRUCKING LLC,,FLEMING,CO
4158753,MC,1597844,ABBYS TOWING AND RECOVERY,,COLORADO SPRINGS,CO
3336932OOS,MC,1064338,ABC AUTO CENTER,,DENVER,CO
553883,MC,190873,"ABC CARRIER, INC.","DENVER EXPRESS SHUTTLE, INC.",AURORA,CO
2910653,MC,980540,"ABC DELIVERY, INC.",,NORTHGLENN,CO
3991586OOS,MC,1497575,ABC EXPRESS INC,,DENVER,CO
4195937,MC,1617806,ABC TRANSPORT LLC,,PARKER,CO
3737572,MC,1321795,ABC TRANSPORT SERVICE LLC,,AURORA,CO
2970079,MC,58778,ABC TRUCKING LLC,,WATKINS,CO
2971763,MC,862973,ABDELAZIZ JOUMAL,DENVER STAR LIMO,DENVER,CO
2407201,MC,828736,ABDIRAHMAN GISHU,VIP LIMO,DENVER,CO
2472026,MC,854835,ABDULLAHI MUSE KIBAR SR.,YASMIN LIMO EXPRESS,DENVER,CO
2373724,MC,814578,ABE LIMOUSINE EXPRESS LLC,,DENVER,CO
2434496,MC,836237,ABE TRANSPORT INC,ADI LIMOUSINE SERVICES,AURORA,CO
2955838,MC,1817,ABEBE  FANTAYE,AFW EXPRESS TRUCKING,DENVER,CO
1496384,MC,598277,ABEL RENTERIA,ABEL & SON'S TRUCKING,THORNTON,CO
1952613,MC,693736,ABELARDO GONZALEZ,ABELARDO IMPORTS,COMMERCE CITY,CO
,MC,1055932,ABERUS LLC,,AURORA,CO
1257064,MC,492309,ABEYTA TRANSPORTATION LLC,,ELIZABETH,CO
3768561OOS,MC,1390100,ABG TRUCKING LLC,,GREELEY,CO
2432553,MC,838647,ABIENTOT LIMO LLC,,AURORA,CO
2213507,MC,192348,"ABJ TRANSPORTATION GROUP, INC.",,ARVADA,CO
3578171,MC,1207706,ABK CARRIERS LLC,,DENVER,CO
2505401,MC,868515,ABK DELIVERY INC,,AURORA,CO
4110042OOS,MC,1569640,ABK TRANSPORTATION LLC,,FORT MORGAN,CO
1467619,MC,655407,ABLE SERVICES INC,ABLE SERVICES,AURORA,CO
3892020,MC,1431185,ABLOGISTICS LLC,,DENVER,CO
1426507,MC,538388,ABOLFAZL ALIKHANI,A-1 AIRPORT EXPRESS,AURORA,CO
3860014,MC,1409779,ABOVE & BEYOND TRANSPORTATION LLC,,GRAND JCT,CO
,MC,867270,ABOVE ALL LIMO SERVICE LLC,,DENVER,CO
4182225,MC,1610432,ABOVE AND BEYOND TOWING & RECOVERY LLC,RECOVERY BROS,GRAND JUNCTION,CO
2355646,MC,813211,ABOVE AVERAGE TRANSPORTATION INC,,PARKER,CO
3842627,MC,1397958,ABOVE THE CLOUDS LOGISTICS LLC,,LAKE GEORGE,CO
,MC,1095184,ABOVE THE REST GARAGE DOOR REPAIR LLC,,COLORADO SPGS,CO
3150379,MC,104510,ABPR INC,AVON RIDE,AVON,CO
3176825,MC,122988,ABR TRANSPORT LLC,,YUMA,CO
637470,MC,529917,ABRAHAM B CHAPMAN,CHAPMAN TRUCKING,BENNETT,CO
,MC,878454,ABRAHAM S. TADESSE,ABRAHAM TADESSE,DENVER,CO
2392067OOS,MC,822253,ABSALUTE TRANSPORT LLC,,COLORADO SPRINGS,CO
,MC,883833,ABSOLUTE CARS & LIMOUSINE SERVICE LLC,,AURORA,CO
,MC,884337,ABSOLUTE LIMO SERVICE INC,,DENVER,CO
2223767,MC,332559,"ABSOLUTE LOGISTICS , LLC",,GREENWOOD VILLAGE,CO
1680104OOS,MC,617425,ABSOLUTE MOVING & DELIVERY LLC,,NORTHGLENN,CO
,MC,660712,ABSOLUTE PRESTIGE LIMOUSINE SERVICE LTD,,LOMA,CO
706325,MC,313309,"ABSOLUTE TRANSPORT, LLC",,ARVADA,CO
3720997,MC,1315776,ABT TRUCKING LLC,,DENVER,CO
,MC,1334001,ABTRANSPORT LLC,,HENDERSON,CO
,MC,887134,ABUBAKER OMAR,ACE LIMOUSINE,DENVER,CO
753611,MC,341002,ABUE EUGENE ANAYA,ANAYA TRANSPORT,ANTONITO,CO
3914050,MC,1619031,ABUSHE TRUCKING EXPRESS LLC,,AURORA,CO
,MC,1445753,ABUSHE TRUCKING EXPRESS LLC,,AURORA,CO
3738406,MC,1322383,ABUWESAM TRANSPORTATION LLC,,AURORA,CO
2226886,MC,392141,ABX LOGISTICS (USA) INC.,,AURORA,CO
4100134,MC,1563886,AC CASTILLO TRUCKING LLC,,MILLIKEN,CO
3164935OOS,MC,113849,AC DC LIMITED LLC,,DENVER,CO
2177273,MC,756110,AC DELIVERY LLC,,THORNTON,CO
3728888,MC,1315509,AC DELIVERY SERVICE LLC,,THORNTON,CO
,MC,891380,AC TRUCKING LLC,,COLORADO SPRINGS,CO
951501,MC,407830,"AC TRUCKING, INC.",,ARVADA,CO
841587,MC,375945,"AC TRUCKING, INC.",,ARVADA,CO
2918898,MC,984052,AC&C TRUCKING LLC,,AURORA,CO
4221721,MC,1631904,AC-ZOS LLC,AC-ZOS LLC,BROOMFIELD,CO
2200970,MC,763724,ACADEMY TRUCKING LLC,,DENVER,CO
2063351,MC,721756,"ACAPPELLA FREIGHT, LLC",,DENVER,CO
,MC,829844,ACATLAN TRANSPORTATION INC,,DENVER,CO
1687941OOS,MC,620512,ACC EXPRESS LLC,,WESTMINSTER,CO
873632,MC,382853,"ACCELERATED  SERVICES,  LLC.",,PARKER,CO
2214597,MC,221896,"ACCELERATED TRANSPORT SERVICES, LLC",,ARVADA,CO
310319,MC,207742,"ACCENT TRANSPORTS, INC.",,AURORA,CO
1334041,MC,996601,"ACCESS 2 ENTERPRISES, INC.",,WINDSOR,CO
,MC,873367,ACCESS LIMO LLC,,DENVER,CO
3159647,MC,109929,ACCLAIM TRANSPORTATION LLC,,KERSEY,CO
1260727,MC,523350,ACCLERATED FREIGHT LLC.,,GOLDEN,CO
3249932,MC,1022565,ACCORD TRANSPORT LLC,,AURORA,CO
2270482,MC,781122,ACCORD TRANSPORTATION LLC,,AURORA,CO
1084535,MC,449982,"ACCORD TRUCKING, LLC",,AURORA,CO
1083930,MC,763355,ACCURATE CONSTRUCTION & EXCAVATION INC,,GRAND JUNCTION,CO
212456,MC,161797,"ACCURATE DELIVERY SERVICE, INC.",,DENVER,CO
2832060,MC,1509949,ACCURATE GRADING LLC,,CENTENNIAL,CO
,MC,877955,ACCURATE LIMO INC,,AURORA,CO
4136630,MC,1585126,ACCUSTOM BROKERAGE LLC,,AURORA,CO
2978838,MC,13157,ACE 9 LLC,,EATON,CO
2155063,MC,749200,ACE ENERGY SERVICES LLC,,GREELEY,CO
2589674,MC,908184,"ACE EXPRESS COACHES, LLC",,GOLDEN,CO
836670,MC,369846,ACE HAULING INC.,,FAIRPLAY,CO
3725191,MC,1312799,ACE LLC,,AURORA,CO
2928316,MC,988512,ACE LOGISTICS LLC,,AURORA,CO
,FF,47995,ACE TREE CARE INCORPORATED,ACE TREE CARE INCORPORATED,LITTLETON,CO
,MC,151106,"ACE TRUCK LINE, INC.",,AURORA,CO
3890594,MC,1430232,ACE TRUCKING CO. LLC,,DENVER,CO
1458109,MC,788297,ACE TRUCKING LLC,,MEEKER,CO
1166908,MC,468830,"ACE TRUCKING, INC.",,PARKER,CO
284015,MC,184180,"ACE WEST TRUCKING, INC.",,RANGELY,CO
3605464,MC,1226177,ACES DISTRIBUTION LLC,,LAKEWOOD,CO
3780214,MC,1352915,ACEVES EXPRESS LLC,,COMMERCE CITY,CO
2908257,MC,48007,ACEVES TRUCKING LLC,,HENDERSON,CO
2970867,MC,9987,ACHILLES LOGISTICS,,DENVER,CO
3055031,MC,53954,ACJ LOGISTICS LLC,,DENVER,CO
2992533,FF,19314,ACL SERVICES INC,,GRAND JCT,CO
2992533,MC,19764,ACL SERVICES INC,,GRAND JCT,CO
3090332,MC,71621,ACL TRUCKING LLC,,COMMERCE CITY,CO
150312,MC,772857,"ACME DELIVERY SERVICE, INC",ACME DISTRIBUTION,AURORA,CO
,FF,8078,"ACME DELIVERY SERVICE, INC.","ACME DISTRIBUTION CENTERS, INC.",AURORA,CO
,MC,149252,"ACME DELIVERY SERVICE,INC.",,DENVER,CO
150312,MC,121608,"ACME DELIVERY SERVICE,INC.","ACME DISTRIBUTION CENTERS, INC.",AURORA,CO
,FF,32797,ACME ENERGY LOGISTICS LLC,,EVANS,CO
,MC,1040848,ACME ENERGY LOGISTICS LLC,,EVANS,CO
2211702,MC,130621,"ACME TOTAL LOGISTICS, LLC",ACME TOTAL LOGISTICS,DENVER,CO
4193340,MC,1616426,ACN TRUCKING LLC,,HUDSON,CO
,FF,10170,ACOPLO INC.,,GRAND JUNCTION,CO
237361,MC,339245,"ACORN PETROLEUM, INC.",,COLORADO SPRINGS,CO
3399699,MC,1103761,ACOSTA SALDIVAR TRANSPORT LLC,,HENDERSON,CO
2842782,FF,14630,ACOSTA TRUCKING,,AURORA,CO
,MC,957378,"ACOSTA TRUCKING COMPANY, LLC",,AURORA,CO
,FF,14255,ACOUSTICAL HOME SOLUTIONS,,ELIZABETH,CO
3891713,MC,1430978,ACOVA TRUCKING LLC,,BRIGHTON,CO
2462104,MC,850793,ACROSS AMERICA TRANSPORT INC,,DENVER,CO
3437813,MC,1115688,ACROSS THE BOARD TRANSPORT LLC,,MONTROSE,CO
,FF,39506,ACT - ALEX'S CONCRETE TRANSPORT,,AURORA,CO
3602049,MC,1223882,ACTION FREEDOM TRANSPORT LLC,,COMMERCE CITY,CO
210733,MC,165778,"ACTION TRANSFER, INC.",,COMMERCE CITY,CO
1261960OOS,MC,493864,"ACTIVE ENDEAVORS, INC",,DENVER,CO
2415380,MC,831524,ACTIVE EXPRESS & LIMOUSINE LLC,,DENVER,CO
2990541,MC,18784,ACTIVE TRANSPORT CARRIERS LLC,,DENVER,CO
